date,site,replicate,concentration
9/28/2017,s1,a,0.022
9/28/2017,s1,b,0.02
9/28/2017,s1,c,0.022
9/28/2017,s2,a,0.043
9/28/2017,s2,b,0.043
9/28/2017,s2,c,0.046
9/28/2017,s3,a,0.046
9/28/2017,s3,b,0.043
9/28/2017,s3,c,0.046
9/28/2017,s4,a,0.05
9/28/2017,s4,b,0.05
9/28/2017,s4,c,0.05
9/28/2017,s5,a,0.11
9/28/2017,s5,b,0.116
9/28/2017,s5,c,0.11
9/28/2017,s6,a,0.11
9/28/2017,s6,b,0.094
9/28/2017,s6,c,0.097
9/28/2017,s7,a,0.046
9/28/2017,s7,b,0.087
9/28/2017,s7,c,0.039
9/28/2017,s8,a,0.002
9/28/2017,s8,b,0.001
9/28/2017,s8,c,0.002
9/28/2017,s9,a,0.04
9/28/2017,s9,b,0.04
9/28/2017,s9,c,0.04
9/28/2017,s10,a,0.029
9/28/2017,s10,b,0.032
9/28/2017,s10,c,0.029
9/28/2017,s11,a,0.032
9/28/2017,s11,b,0.032
9/28/2017,s11,c,0.032
9/28/2017,s12,a,0.043
9/28/2017,s12,b,0.043
9/28/2017,s12,c,0.043
8/15/2017,s1,a,0.037
8/15/2017,s1,b,0.037
8/15/2017,s1,c,0.037
8/15/2017,s2,a,0.046
8/15/2017,s2,b,0.043
8/15/2017,s2,c,0.046
8/15/2017,s3,a,0.046
8/15/2017,s3,b,0.046
8/15/2017,s3,c,0.046
8/15/2017,s4,a,0.04
8/15/2017,s4,b,0.04
8/15/2017,s4,c,0.04
8/15/2017,s5,a,0.083
8/15/2017,s5,b,0.089
8/15/2017,s5,c,0.106
8/15/2017,s6,a,0.219
8/15/2017,s6,b,0.255
8/15/2017,s6,c,0.246
8/15/2017,s8,a,0.002
8/15/2017,s8,b,0.002
8/15/2017,s8,c,0.002
8/15/2017,s9,a,0.034
8/15/2017,s9,b,0.032
8/15/2017,s9,c,0.037
8/15/2017,s10,a,0.024
8/15/2017,s10,b,0.026
8/15/2017,s10,c,0.02
8/15/2017,s11,a,0.04
8/15/2017,s11,b,0.04
8/15/2017,s11,c,0.04
8/15/2017,s12,a,0.026
8/15/2017,s12,b,0.022
8/15/2017,s12,c,0.024
8/15/2017,s13,a,0.046
8/15/2017,s13,b,0.046
8/15/2017,s13,c,0.046
8/29/2017,s1,a,0.034
8/29/2017,s1,b,0.032
8/29/2017,s1,c,0.04
8/29/2017,s2,a,0.034
8/29/2017,s2,b,0.032
8/29/2017,s2,c,0.04
8/29/2017,s3,a,0.043
8/29/2017,s3,b,0.04
8/29/2017,s3,c,0.043
8/29/2017,s4,a,0.034
8/29/2017,s4,b,0.037
8/29/2017,s4,c,0.04
8/29/2017,s5,a,0.109
8/29/2017,s5,b,0.123
8/29/2017,s5,c,0.117
8/29/2017,s6,a,0.26
8/29/2017,s6,b,0.268
8/29/2017,s6,c,0.251
8/29/2017,s7,a,0.185
8/29/2017,s7,b,0.103
8/29/2017,s7,c,0.14
8/29/2017,s8,a,0.163
8/29/2017,s8,b,0.143
8/29/2017,s8,c,0.124
8/29/2017,s9,a,0.034
8/29/2017,s9,b,0.034
8/29/2017,s9,c,0.037
8/29/2017,s10,a,0.018
8/29/2017,s10,b,0.02
8/29/2017,s10,c,0.018
8/29/2017,s11,a,0.037
8/29/2017,s11,b,0.004
8/29/2017,s11,c,0.037
8/29/2017,s12,a,0.032
8/29/2017,s12,b,0.032
8/29/2017,s12,c,0.034
8/29/2017,s13,a,0.043
8/29/2017,s13,b,0.04
8/29/2017,s13,c,0.04
9/15/2017,s1,a,0.006
9/15/2017,s1,b,0.004
9/15/2017,s1,c,0.002
9/15/2017,s2,a,0.014
9/15/2017,s2,b,0.016
9/15/2017,s2,c,0.012
9/15/2017,s3,a,0.04
9/15/2017,s3,b,0.04
9/15/2017,s3,c,0.04
9/15/2017,s4,a,0.037
9/15/2017,s4,b,0.04
9/15/2017,s4,c,0.037
9/15/2017,s5,a,0.149
9/15/2017,s5,b,0.159
9/15/2017,s5,c,0.14
9/15/2017,s6,a,0.227
9/15/2017,s6,b,0.263
9/15/2017,s6,c,0.204
9/15/2017,s7,a,0.223
9/15/2017,s7,b,0.236
9/15/2017,s7,c,0.222
9/15/2017,s8,a,0.204
9/15/2017,s8,b,0.2
9/15/2017,s8,c,0.187
9/15/2017,s9,a,0.094
9/15/2017,s9,b,0.084
9/15/2017,s9,c,0.096
9/15/2017,s10,a,0.001
